id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,wheelchair,animal
21160806,충정로역 2호선,"교통,수송 > 지하철,전철 > 수도권2호선",SW8,지하철역,02-6110-2431,서울 서대문구 충정로3가 319-1,서울 서대문구 서소문로 지하 17,126.96449207476172,37.55976328822766,http://place.map.kakao.com/21160806,,y,unknown
21160648,명동역 4호선,"교통,수송 > 지하철,전철 > 수도권4호선",SW8,지하철역,02-6110-4241,서울 중구 충무로2가 109-2,서울 중구 퇴계로 지하 126,126.98640235001736,37.56096526943837,http://place.map.kakao.com/21160648,,unknown,unknown
21160536,시청역 2호선,"교통,수송 > 지하철,전철 > 수도권2호선",SW8,지하철역,02-6110-2011,서울 중구 서소문동 90-1,서울 중구 서소문로 지하 127,126.97559827045151,37.56368183746611,http://place.map.kakao.com/21160536,,y,unknown
21160751,서대문역 5호선,"교통,수송 > 지하철,전철 > 수도권5호선",SW8,지하철역,02-6311-5321,서울 종로구 평동 210,서울 종로구 통일로 지하 126,126.96663755850754,37.56575193662503,http://place.map.kakao.com/21160751,,y,unknown
21160570,시청역 1호선,"교통,수송 > 지하철,전철 > 수도권1호선",SW8,지하철역,02-6110-1321,서울 중구 정동 5-5,서울 중구 세종대로 지하 101,126.97719821079865,37.56534539636417,http://place.map.kakao.com/21160570,,y,unknown
21160622,을지로입구역 2호선,"교통,수송 > 지하철,전철 > 수도권2호선",SW8,지하철역,02-6110-2021,서울 중구 을지로1가 100-1,서울 중구 을지로 지하 42,126.9821953112953,37.566035517712955,http://place.map.kakao.com/21160622,,y,unknown
21160530,을지로3가역 2호선,"교통,수송 > 지하철,전철 > 수도권2호선",SW8,지하철역,02-6110-2031,서울 중구 을지로3가 347-3,서울 중구 을지로 지하 106,126.99098443539428,37.56629149790628,http://place.map.kakao.com/21160530,,unknown,unknown
21160613,종각역 1호선,"교통,수송 > 지하철,전철 > 수도권1호선",SW8,지하철역,02-6110-1311,서울 종로구 종로1가 54,서울 종로구 종로 지하 55,126.98315081716676,37.570227990912244,http://place.map.kakao.com/21160613,,y,unknown
21160840,광화문역 5호선,"교통,수송 > 지하철,전철 > 수도권5호선",SW8,지하철역,02-6311-5331,서울 종로구 세종로 1-68,서울 종로구 세종대로 지하 172,126.97642427981408,37.57164860977568,http://place.map.kakao.com/21160840,,y,unknown
21160680,종로3가역 5호선,"교통,수송 > 지하철,전철 > 수도권5호선",SW8,지하철역,02-6311-5341,서울 종로구 돈의동 39-1,서울 종로구 돈화문로11길 지하 26,126.9904176797898,37.57258941181964,http://place.map.kakao.com/21160680,,y,unknown
21160823,경복궁역 3호선,"교통,수송 > 지하철,전철 > 수도권3호선",SW8,지하철역,02-6110-3271,서울 종로구 적선동 81-1,서울 종로구 사직로 지하 130,126.973691352767,37.5758061234865,http://place.map.kakao.com/21160823,,unknown,unknown
21160552,안국역 3호선,"교통,수송 > 지하철,전철 > 수도권3호선",SW8,지하철역,02-6110-3281,서울 종로구 안국동 73-1,서울 종로구 율곡로 지하 62,126.98542143228659,37.57650192060523,http://place.map.kakao.com/21160552,,unknown,unknown
